RegionCode,RegionOperatorCode,ServiceCode,LineName,Description,StartDate
W,FCYM,FCBO902,902,"NeathCollege-PortTalbotviaBritonFerry,BaglanEst,SandfieldsEst",10/04/2016
W,FCYM,FCBX029,X29,Tycroes-Carmarthen,01/09/2015
W,FCYM,FCEO041,41,MorristonCross-SwanseaUniversityviaSwanseaCollege,08/01/2017
W,FCYM,MGBO014,14,"CraigCefnParc-PennardviaMorriston,SwanseaCityCentre",24/09/2017
W,FCYM,SWAO004A,4A,SingletonHospital-MorristonHospital,24/09/2017
W,FCYM,SWAO020,20,Swansea-DerlwynviaKillay,28/05/2017
W,FCYM,SWAO022,22,"Swansea-ThreeCrossesviaKillay,Dunvant",19/06/2017
W,FCYM,SWCO012,12,SwanseaBusStation-TownhillCircular,08/01/2017
W,FFOC,FFAO282,282,Brechfa-Carmarthen,09/06/2015
W,GOOD,ANBO021,21,HolyheadSummerhill-HolyheadSummerhillviaTreseifion,30/10/2013
W,GWCO,ANBO050,50,Llangefni-Beaumaris,24/04/2017
W,HRRS,GWAE012,E12,Tredegar-TredegarviaDukestown,04/09/2017
W,HRRS,MGAO014,14,Blackwood-Bargoed,31/07/2016
W,HUTC,FLAB000,B,BuckleyRailwayStation-BuckleyRailwayStationviaBuckleyCross,20/07/2014
W,LJCO,FLAO014,14,"Mold-DenbighviaCaerwys,Bodfari",22/07/2016
W,LLCO,MGAO585,585,Lampeter-AberystwythviaTregaron,06/02/2017
W,LLCO,PWAT037,T37,Machynlleth-AberhosanviaForge,02/08/2010
W,MNCC,MGAW005,W5,MonmouthBusStation-MonmouthBusStationviaRockfieldEstate,29/03/2016
W,MRRS,MGAO215,215,CarnarthenBusStation-Llanpumpsaintcircular,07/11/2016
W,NADT,CPBX038,X38,Pontypridd-BargoedviaNelson,26/01/2015
W,NADT,NAAO811,811,YsgolBroEdernCardiff-StIlltydsSchoolCardiff,01/09/2016
W,NADT,NAAO816,816,Pontprennau-LlanishenHighSchool,04/09/2017
W,NADT,NAAO817,817,PontprennauWest-LlanishenHighSchool,04/09/2017
W,NADT,RCAO025,25,"Fernhill-PontypriddviaCefnpennar,MountainAsh,Ynysybwl",02/11/2014
W,NADT,RCAO102,102,Glyncoch-Rhydyfelin,11/07/2016
W,NADT,RCAO121,121,Tonypandy-Blaenrhondda,02/11/2014
W,NADT,RCBO101,101,Pontypridd-PontypriddviaPontypriddSainsbury,11/01/2015
W,NADT,RCCO600,600,Aberdare-Cardiff,10/01/2016
W,NADT,SMAO304,304,Barry-Cardiff,07/05/2017
W,NADT,SMAO813,813,"Lisvane-YsgolGlantafviaLlanishen,Rhiwbina",31/10/2016
W,NADT,SMCO089B,89B,Cardiff-LlandoughviaPenarth,05/06/2017
W,NADT,TCAT006,T6,"Brecon-SwanseaviaYstradgynlais,Neath",10/04/2017
W,NWPT,MGYO060,60,"Monmouth-NewportviaRaglan,Usk,Caerleon",29/03/2016
W,NWPT,NTAO001,1,Newport-Foxgloves,20/08/2017
W,NWPT,NTAO008A,8A,Newport-RinglandviaRingwoodAvenue,24/09/2017
W,NWPT,NTAO028,28,Newport-CaerleonEastfieldRoad,30/10/2016
W,NWPT,NTAO040,40,Newport-RedrowDevelopmentviaPillgwenlly,05/03/2017
W,NWPT,NTAO159,159,Foxgloves-BassalegComprehensiveSchoolviaAfonVillage,02/09/2015
W,NWPT,NTBO018,18,"Newport-MalpasParkviaRowanWay,PiltonVale",30/10/2016
W,NWPT,NTBO034,34,"Newport-CelticSpringsBusinessParkviaCardiffRoad,MorganWay",05/03/2017
W,OWNC,PWAO086C,86C,"NewtownBusStation-NewtownBusStationviaMaesydail,Trehafren",04/09/2015
W,PAOL,FLAO014C,14C,Mold-Holywell,04/09/2015
W,PRTH,MGAO173,173,"Porth-ClydachValeviaPenygraig,Tonypandy",01/11/2016
W,RBRO,CGBO407,407,Cardigan-PoppitSands,04/09/2015
W,RBRO,CMAO616,616,"TempleBar-CwmannviaCribyn,Lampeter",06/02/2017
W,RBRO,PBAO342,342,Haverfordwest-StDavid`s,07/11/2010
W,RBRO,PBBO411,411,Haverfordwest-StDavid`sviaNewgale,09/10/2017
W,RBRO,TCAT005,T5,"Aberystwyth-HaverfordwestviaNewquay,Cardigan",25/09/2017
W,RDWY,NPAO001,1,PortTalbot-Brynbryddan,04/09/2015
W,SARG,PWAO463,463,"LlandrindodWells-HerefordviaNewRadnor,Kington",04/09/2017
W,SSWL,CPAE000,E,Senghenydd-Caerphilly,14/12/2015
W,SSWL,CPAO003,3,MerthyrTydfil-Bargoed,30/01/2017
