RegionCode,RegionOperatorCode,ServiceCode,LineName,Description,StartDate
NW,2357,NW_06_2357_728_2,728,MAGHULL-OLDROAN-WADDICAR,24/04/2016
NW,2357,NW_06_2357_748_1,748,HILLSIDE-SOUTHPORT-CROSSENS,01/01/2016
NW,2357,NW_06_2357_835_1,835,NORTHWOOD-FAZAKERLEY-SEAFORTH,01/01/2016
NW,2367,NW_06_2367_144_2,144,BOOTLE-NETHERTON-BOOTLE,23/04/2017
NW,2367,NW_06_2367_145_1,145,EASTHAMRAKE-BEBINGTON-MORETON,03/09/2017
NW,2367,NW_06_2367_165_1,165,BELLEVALE-BELLEVALE-BELLEVALE,10/07/2017
NW,2367,NW_06_2367_492_1,492,WOODSIDE-UPTON-WOODSIDE,03/09/2017
NW,2367,NW_06_2367_628_2,628,BIDSTON-SANDHEY-NEWTON,23/04/2017
NW,2367,NW_06_2367_698_1,698,BIRKENHEAD-BEECHWOOD-BIRKENHEAD,04/09/2016
NW,2367,NW_06_2367_77A_1,77A,HESWALL-HIGHERBEBINGTON-BIRKENHEAD,01/01/2016
NW,2387,NW_06_2387_110_1,110,WARRINGTON-WIDNES-PRESTONBROOK,23/04/2017
NW,2387,NW_06_2387_3A_1,3A,PALACEFIELDS-WESTONPOINT-PALACEFIELDS,01/01/2016
NW,2387,NW_06_2387_79C_1,79C,LIVERPOOL-HOUGHGREEN-MURDISHAW,24/04/2016
NW,2387,NW_06_2387_82B_1,82B,PALACEFIELDS-SPEKE-LIVERPOOL,23/07/2017
NW,2391,NW_06_2391_200_1,200,WIDNES-PRESTONONTHEHILL-RUNCORN,11/07/2016
NW,2391,NW_06_2391_47_1,47,WIDNES-PENKETH-HOWLEY,01/01/2016
NW,2391,NW_06_2391_611_1,611,DOVECOT-DOVECOT-OAKVALEPARK,01/01/2016
NW,2391,NW_06_2391_62_1,62,WARRINGTON-HALLWOODPARK-DITTON,03/09/2017
NW,2391,NW_06_2391_62A_1,62A,WARRINGTON-GRANGE-DITTON,03/09/2017
NW,2391,NW_06_2391_724_1,724,VULCANVILLAGE-WARGRAVE-NEWTONLEWILLOWS,01/01/2016
NW,2391,NW_06_2391_794_1,794,MUNCASTER-WINDLE-DENTONSGREEN,01/01/2016
NW,2410,NW_06_2410_141_1,141,NEWTONLEWILLOWS-COLLINSGREEN-STHELENS,22/01/2017
NW,2410,NW_06_2410_60_1,60,STHELENS-WINDLEHURST-STHELENS,23/04/2017
NW,2410,NW_06_2410_718_1,718,SUTTONMANOR-SUTTONLEACH-PARR,03/09/2017
NW,2410,NW_06_2410_748_1,748,BILLINGE-CARRMILL-BLACKBROOK,01/01/2016
NW,2411,NW_06_2411_12_1,12,LIVERPOOL-WOOLFALLHEATH-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_17_2,17,CLATTERBRIDGE-PRENTON-MORETON,01/01/2016
NW,2411,NW_06_2411_10B_1,10B,LIVERPOOL-HUYTON-LIVERPOOL,23/04/2017
NW,2411,NW_06_2411_13_1,13,LIVERPOOL-STOCKBRIDGEVILLAGE-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_15_1,15,HUYTON-WESTDERBY-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_26_1,26,LIVERPOOL-NEWSHAMPARK-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_27_1,27,LIVERPOOL-FAIRFIELD-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_407_1,407,MORETON-BIDSTON-LIVERPOOL,01/01/2016
NW,2411,NW_06_2411_409_1,409,WOODSIDE-LISCARD-WOODSIDE,03/09/2017
NW,2411,NW_06_2411_46B_1,46B,LITTLEALTCAR-SOUTHPORT-HIGHPARK,23/04/2017
NW,2411,NW_06_2411_52A_1,52A,NETHERTON-LITHERLAND-LIVERPOOL,03/09/2017
NW,2411,NW_06_2411_781_1,781,MUNCASTER-RAINFORD-CHAPELBROW,01/01/2016
NW,2411,NW_06_2411_781_2,781,SEAFORTH-WATERLOO-CROSBY,03/09/2017
NW,2411,NW_06_2411_784_1,784,GREENLEACH-CRANK-MUNCASTER,24/04/2016
NW,2464,NW_06_2464_743_1,743,HYDESBROW-COWLEYHILL-GRANGEPARK,01/01/2016
NW,2515,NW_06_2515_290_1,290,PRESCOT-KNOWSLEYPARK-KIRKBY,01/01/2016
NW,2515,NW_06_2515_701_1,701,HIGHPARK-SOUTHPORT-SOUTHPORT,24/04/2016
NW,2527,NW_06_2527_129_1,129,LISCARD-LEASOWE-FRANKBY,01/01/2016
NW,2527,NW_06_2527_175_1,175,HESWALL-IRBY-HESWALL,03/09/2017
