LEEDS-GARFORTH-KIPPAX-CASTLEFORD        ,,,,,,,,,,,,,,,,,Service   163,,,,,,,,,,,,,,,,,,,
Stage No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,:,  Leeds Park Row (57)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,:,100,  Eastgate/York Street/CBS (56)    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,:,100,100,  York Rd/Marsh Lane (55)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,:,160,100,100,  Victoria School (54)    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,:,160,160,100,100,  Harehills Lane (53)    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,:,230,160,160,100,100,  Dog & Gun or Halton Dial (52),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,:,230,230,160,100,100,100,  Lucy Avenue (51)    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,:,230,230,230,160,100,100,100,  Halton Institute (50)    ,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,:,270,270,270,230,230,160,100,100,  Temple Walk (49)    ,,,,,,,,,,,,,,,,,,,,,,,,,,
48,:,290,290,290,270,270,230,160,100,100,  Cross Gates Green Lane End/ Station or Arndale Centre (48) ,,,,,,,,,,,,,,,,,,,,,,,,,
47,:,290,290,290,300,270,270,230,230,160,100,  Skyliner (47)     ,,,,,,,,,,,,,,,,,,,,,,,,
46,:,290,290,290,290,290,270,230,230,230,100,100,  School Lane (46)    ,,,,,,,,,,,,,,,,,,,,,,,
45,:,290,290,290,290,290,290,270,270,230,100,100,100,  Sainsbury's (45)     ,,,,,,,,,,,,,,,,,,,,,,
44,:,290,290,290,290,290,290,270,270,230,160,100,100,100,  Swillington Lane End (44)   ,,,,,,,,,,,,,,,,,,,,,
43,:,290,290,290,290,290,290,290,270,270,230,160,100,100,100,  Old George Hotel (43)   ,,,,,,,,,,,,,,,,,,,,
42,:,290,290,290,290,290,290,290,290,270,230,230,230,160,100,100,  Barley Hill Road (42)    ,,,,,,,,,,,,,,,,,,,
41,:,290,290,290,290,290,290,290,290,290,270,270,270,230,160,100,100,  Garforth Town End / Main Street (41)   ,,,,,,,,,,,,,,,,,,
40,:,290,290,290,290,290,290,290,290,290,270,270,270,270,230,160,100,100,  Garforth Church (40)    ,,,,,,,,,,,,,,,,,
39,:,290,290,290,290,290,290,290,290,290,290,290,290,270,270,230,230,160,100,  Hazelwood Av / Ninelands (39)  ,,,,,,,,,,,,,,,,
38,:,290,290,290,290,290,290,290,290,290,290,290,290,290,270,270,230,230,160,100,  Kippax Lane End (38)   ,,,,,,,,,,,,,,,
37,:,340,340,340,330,330,330,330,330,330,300,300,300,300,300,270,270,230,230,160,100,  Brecks Lane (37)    ,,,,,,,,,,,,,,
36,:,340,340,340,340,330,330,330,330,330,330,330,300,300,300,300,270,270,230,230,160,100,  Birch Rd or Rutland Close (36) ,,,,,,,,,,,,,
35,:,340,340,340,340,340,330,330,330,330,330,330,330,300,300,300,300,270,270,230,230,160,100,  Kippax X H/Memorial/ Cliffe C (35) ,,,,,,,,,,,,
23,:,340,340,340,340,340,340,340,340,330,330,330,330,330,330,300,300,270,270,270,270,230,160,100,  Mill Cottages (23)    ,,,,,,,,,,,
20,:,340,340,340,340,340,340,340,340,330,330,330,330,330,330,300,300,300,270,270,270,270,230,160,100,  Ledston Luck (20)    ,,,,,,,,,,
34,:,340,340,340,340,340,340,330,330,330,330,330,330,330,330,300,300,270,270,270,270,230,160,160,---,---,  Kippax Sports Centre (34)   ,,,,,,,,,
33,:,340,340,340,340,340,340,340,330,330,330,330,330,330,330,300,300,270,270,270,270,230,230,160,---,---,100,  Great Preston Cnr (33)   ,,,,,,,,
32,:,340,340,340,340,340,340,340,330,330,330,330,330,330,330,330,300,300,300,300,270,230,230,230,---,---,160,100,  Brigshaw Lane End (32)   ,,,,,,,
31,:,340,340,340,340,340,340,340,340,330,330,330,330,330,330,330,300,300,300,300,300,270,270,230,---,---,160,160,100,  Carlton Terrace (31)    ,,,,,,
30,:,340,340,340,340,340,340,340,340,340,330,330,330,330,330,330,330,300,300,300,300,270,270,230,---,---,230,160,160,100,  Blands Avenue (30)    ,,,,,
29,:,340,340,340,340,340,340,340,340,340,340,340,340,330,330,330,330,330,300,300,300,300,270,270,---,---,230,230,230,160,100,  Allerton School or NBC Office (29) ,,,,
28,:,340,340,340,340,340,340,340,340,340,340,340,340,340,330,330,330,330,330,300,300,300,300,300,---,---,270,230,230,230,160,100,  Station Lane End (28)   ,,,
27,:,340,340,340,340,340,340,340,340,340,340,340,340,340,330,330,330,330,330,330,300,300,300,300,---,---,270,270,270,230,230,160,100,  Guy's Garage (27)    ,,
26,:,340,340,340,340,340,340,340,340,340,340,340,340,340,340,330,330,330,330,330,330,300,300,300,---,---,300,270,270,270,230,230,160,160,  Lock Lane (26) ,
25,:,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,330,330,330,330,330,330,330,300,---,---,300,300,300,270,270,270,230,230,100,  Castleford Bus Stn (25)   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A £3.20 return fare is available for journeys between Kippax Lane End & Leeds taken from 0930 on Monday to Friday and all day Saturday and Sunday where the single fare is £1.60 or over.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
